id,respond,gender,age,numpurchase,totdol,region,addresstype
186,0,1,44,3,1267,5,urban
187,0,1,35,1,73,6,rural
188,1,0,38,1,52,4,urban
189,0,1,33,1,233,1,urban
190,0,1,38,2,105,4,rural
191,0,0,38,1,195,6,rural
192,0,1,37,5,1764,6,urban
193,0,1,38,1,215,1,rural
194,0,1,35,2,74,3,urban
195,1,1,39,4,2070,4,urban
196,0,1,42,2,155,1,rural
197,0,1,42,2,58,4,rural
198,0,1,37,4,592,6,rural
199,0,1,34,2,60,3,urban
200,0,1,32,1,59,5,rural
201,0,1,35,2,497,4,urban
202,0,1,32,1,217,4,urban
203,0,1,40,3,65,1,urban
204,0,1,29,1,56,2,rural
205,0,1,34,1,406,4,urban
206,0,1,37,1,52,6,urban
207,0,0,40,2,358,6,urban
208,0,1,35,1,70,4,urban
209,1,1,40,3,54,1,urban
210,0,1,35,2,63,2,urban
211,0,1,34,1,97,4,urban
212,0,1,36,1,437,1,rural
213,0,1,29,4,1607,4,urban
214,0,1,41,2,59,6,rural
215,0,0,41,4,783,2,rural
216,0,1,45,2,68,1,rural
217,0,1,36,3,608,1,urban
218,0,0,41,2,100,4,urban
219,0,1,37,1,51,1,rural
220,0,1,31,2,1238,4,urban
221,0,1,36,2,54,6,rural
222,0,1,45,1,52,3,rural
223,0,1,34,2,493,6,rural
224,0,1,36,1,96,1,rural
225,0,1,37,3,841,2,urban
226,0,1,36,1,332,1,urban
227,0,0,41,1,178,3,rural
228,0,0,33,2,95,4,urban
229,0,1,35,3,668,5,urban
230,0,1,42,1,61,4,urban
231,1,1,30,1,56,1,rural
232,0,0,37,2,341,2,rural
233,0,0,41,2,73,4,rural
234,0,1,32,2,118,5,rural
235,0,1,35,1,150,4,rural
236,0,0,43,1,58,4,urban
237,0,1,37,1,120,1,rural
238,0,1,47,1,241,4,urban
239,0,0,37,1,122,6,rural
240,0,1,36,1,70,1,urban
241,0,1,38,2,163,5,rural
242,0,1,34,1,60,6,urban
243,0,1,39,2,63,3,urban
244,0,1,43,1,65,2,urban
245,0,1,44,1,127,4,urban
246,1,1,41,2,268,1,urban
247,0,1,34,1,116,2,urban
248,0,1,41,1,82,2,urban
249,0,1,33,2,223,3,rural
250,0,1,37,2,53,3,urban
251,0,1,39,1,53,6,urban
252,0,1,35,1,61,3,urban
253,0,1,37,1,58,3,urban
254,1,1,32,1,58,1,urban
255,0,1,34,1,85,1,urban
256,1,1,40,2,67,6,rural
257,0,0,35,1,51,4,rural
258,0,1,46,1,54,4,urban
259,0,1,41,2,81,5,rural
260,0,1,40,2,254,1,rural
261,0,0,32,3,56,1,urban
262,0,1,33,1,57,5,urban
263,0,0,39,1,73,6,urban
264,1,0,43,1,61,4,urban
265,0,1,38,1,62,1,rural
266,0,1,35,1,89,4,rural
267,0,0,30,2,162,4,urban
268,1,1,38,2,359,4,rural
269,0,1,41,1,72,4,rural
270,0,1,36,1,53,3,urban
271,0,0,38,2,152,6,rural
272,0,1,35,1,70,5,urban
273,0,1,29,1,54,3,rural
274,0,1,33,2,93,4,urban
275,1,1,35,2,60,6,urban
276,0,0,42,2,158,4,urban
277,0,0,47,1,76,5,urban
278,0,1,41,2,905,3,urban
279,0,1,36,4,57,6,rural
280,0,0,35,2,99,6,rural
281,1,1,39,2,192,6,rural
282,0,1,33,1,58,2,urban
283,0,0,42,1,141,2,urban
284,0,1,38,1,169,1,rural
285,0,0,44,6,3186,2,urban
286,0,0,39,5,1593,1,urban
287,1,0,34,1,57,4,urban
288,1,1,41,1,61,2,urban
289,0,0,41,1,59,5,urban
290,0,1,49,1,71,2,urban
291,0,0,39,2,63,4,urban
292,0,1,36,1,60,2,urban
293,0,1,41,4,1185,5,urban
294,0,1,37,1,55,1,urban
295,0,1,41,1,248,2,rural
296,0,1,32,1,164,2,urban
297,0,1,37,1,79,1,urban
298,0,1,30,2,71,5,rural
299,0,1,35,1,52,1,urban
300,0,1,40,1,211,2,urban
301,0,1,34,2,156,2,urban
302,0,1,37,2,51,3,urban
303,0,0,30,2,77,4,urban
304,0,0,37,2,104,1,urban
305,0,1,38,2,160,4,rural
306,0,1,34,1,74,1,urban
307,0,1,37,2,158,4,urban
308,0,0,38,1,60,4,rural
309,0,0,42,1,51,5,urban
310,0,1,38,2,76,1,rural
311,1,1,33,1,67,1,urban
312,0,1,40,1,251,4,rural
313,0,1,37,2,239,4,urban
314,0,1,37,1,53,4,urban
315,0,1,34,2,53,5,urban
316,1,0,45,1,64,4,rural
317,0,1,31,2,79,1,rural
318,0,0,34,1,53,5,urban
319,0,1,40,1,61,4,rural
320,0,0,34,2,231,6,urban
321,0,0,34,1,181,1,urban
322,0,1,33,2,56,4,urban
323,0,1,35,1,176,4,rural
324,0,1,39,2,1235,1,urban
325,0,1,43,1,59,2,urban
326,0,1,54,8,5295,6,rural
327,0,1,28,1,79,6,urban
328,0,1,37,1,70,1,urban
329,0,1,41,1,64,6,rural
330,0,1,36,1,373,1,urban
331,1,1,39,2,139,4,rural
332,0,1,36,1,68,4,urban
333,1,0,42,1,59,1,rural
334,0,1,39,2,383,4,urban
335,0,1,34,3,546,1,urban
336,1,1,38,2,379,6,rural
337,1,1,41,1,185,6,urban
338,0,1,32,1,50,1,urban
339,0,1,44,1,66,6,urban
340,0,0,44,1,207,4,urban
341,1,0,40,1,95,1,urban
342,0,1,38,1,60,1,urban
343,0,1,37,2,76,4,urban
344,0,1,44,1,66,5,rural
345,0,1,35,1,55,2,urban
346,0,0,38,1,57,1,urban
347,0,1,39,3,840,2,rural
348,0,1,37,1,57,2,rural
349,0,1,40,1,51,4,rural
350,0,1,40,1,164,2,urban
351,0,1,41,1,53,6,urban
352,0,1,34,1,91,6,urban
353,0,1,42,2,78,1,urban
354,0,0,44,2,68,1,urban
355,0,1,34,3,64,1,urban
356,0,1,38,6,2744,4,urban
357,1,1,34,1,715,2,urban
358,0,1,40,1,564,1,urban
359,0,1,39,1,56,1,urban
360,0,1,35,1,73,6,urban
361,0,0,33,2,100,2,urban
362,0,0,28,2,77,2,rural
363,0,1,36,1,204,2,rural
364,0,1,33,2,55,4,urban
365,0,1,40,1,131,4,urban
366,0,1,48,1,92,4,urban
367,0,1,37,3,64,4,urban
368,0,1,36,1,313,6,urban
369,0,1,37,1,125,4,urban
370,1,1,37,3,63,1,urban
371,0,1,40,1,52,5,rural
372,1,1,41,3,831,1,rural
373,0,0,41,2,57,6,urban
374,0,1,37,2,176,6,urban
375,0,1,39,2,52,2,urban
376,0,0,35,1,57,1,urban
377,0,1,37,1,203,1,urban
378,0,0,39,6,1970,3,urban
379,0,1,33,1,86,4,rural
380,0,1,39,2,87,6,rural
381,0,1,35,2,238,2,urban
382,0,1,38,2,465,4,urban
383,0,1,40,2,261,4,urban
384,0,1,29,2,60,4,urban
385,0,0,37,2,55,4,urban
386,0,1,33,2,125,4,rural
387,1,0,44,1,57,2,urban
388,1,1,37,1,54,2,rural
389,0,1,36,1,177,6,rural
390,0,1,36,6,2873,6,rural
391,0,1,34,1,52,6,urban
392,0,1,33,2,56,3,rural
393,0,1,38,2,54,1,urban
394,1,1,37,5,1221,2,rural
395,0,1,47,8,3772,4,urban
396,0,1,36,3,611,6,urban
397,1,1,45,2,64,3,rural
398,0,0,41,2,647,1,urban
399,0,1,41,2,60,6,rural
400,0,1,38,2,54,2,urban
401,0,1,30,1,52,4,urban
402,0,1,42,1,63,2,urban
403,0,1,35,2,115,6,urban
404,0,1,42,1,116,3,rural
405,0,1,35,1,56,3,urban
406,0,1,39,1,69,4,urban
407,0,1,36,2,59,4,urban
408,0,1,37,1,72,2,urban
409,0,1,38,1,123,2,rural
410,1,1,39,5,2050,6,urban
411,0,0,29,1,53,6,rural
412,0,1,41,2,62,1,urban
413,0,0,25,1,627,1,urban
414,1,1,37,1,108,1,rural
415,0,0,33,2,75,4,rural
416,1,1,37,3,173,1,urban
417,0,0,41,2,55,1,urban
418,0,1,40,1,62,2,urban
419,0,1,45,1,52,6,rural
420,0,0,44,1,61,4,rural
421,0,1,46,1,65,4,urban
422,0,1,40,2,55,5,urban
423,0,1,40,1,60,6,rural
424,0,1,35,2,51,3,rural
425,0,1,39,1,51,6,rural
426,0,1,40,1,76,4,rural
427,0,1,33,1,82,1,rural
428,1,1,38,4,1210,5,urban
429,0,1,41,1,89,3,urban
430,0,1,36,1,206,4,urban
431,1,1,35,1,225,6,rural
432,0,1,37,2,53,6,urban
433,0,1,35,2,65,6,rural
434,1,1,37,1,195,5,rural
435,0,0,38,2,77,4,rural
436,0,1,42,2,54,2,rural
437,0,1,38,1,286,3,rural
438,0,1,32,8,8763,1,rural
439,0,0,39,2,62,2,rural
440,0,1,37,2,80,2,urban
441,0,1,39,2,84,5,urban
442,0,1,39,4,1403,4,urban
443,0,1,39,1,54,6,rural
444,0,1,36,1,77,2,urban
445,0,1,42,2,52,1,urban
446,0,0,35,1,409,1,rural
447,0,0,35,1,72,4,urban
448,0,0,33,1,118,4,urban
449,1,1,46,5,1465,6,rural
450,0,1,36,1,54,6,rural
451,0,1,36,1,60,4,rural
452,0,0,35,2,174,5,urban
453,0,1,30,6,2162,4,urban
454,0,1,38,1,73,1,urban
455,1,1,39,1,57,6,rural
456,0,1,38,1,109,3,rural
457,0,1,33,1,52,4,urban
458,0,1,42,2,65,6,urban
459,1,0,34,1,86,4,urban
460,0,1,36,2,71,6,rural
461,0,0,34,1,59,6,rural
462,0,1,44,1,64,2,rural
463,0,1,31,2,61,4,urban
464,0,1,34,1,192,1,urban
465,0,1,39,1,60,5,urban
466,0,1,37,1,263,4,rural
467,0,1,41,1,94,6,rural
468,0,1,37,3,112,5,urban
469,0,0,40,2,74,5,urban
470,1,0,36,3,533,6,urban
471,0,0,34,2,461,2,rural
472,0,1,43,3,746,6,rural
473,0,1,36,3,654,1,urban
474,0,0,33,1,302,5,rural
475,0,0,36,1,51,4,rural
476,0,1,37,2,1245,1,urban
477,0,1,35,2,66,1,urban
478,0,1,40,5,1950,3,urban
479,0,1,38,1,129,6,urban
480,0,1,42,1,55,2,urban
481,0,0,29,1,80,4,urban
482,0,1,43,1,52,1,urban
483,0,0,43,2,57,4,rural
484,0,1,35,3,547,4,rural
485,0,1,41,1,58,4,urban
486,0,1,40,1,413,6,rural
487,0,1,35,2,389,3,urban
488,0,1,41,2,679,5,urban
489,0,1,34,5,1346,5,rural
490,0,1,31,1,57,2,rural
491,0,1,42,2,1117,4,urban
492,0,1,39,2,51,1,rural
493,0,0,32,2,257,5,rural
494,0,1,35,2,55,6,urban
495,0,1,37,2,69,1,urban
496,0,1,42,1,58,1,urban
497,0,1,39,2,60,1,urban
498,1,0,58,8,4099,5,urban
499,1,1,32,2,68,6,rural
500,0,0,41,1,95,5,urban
501,0,1,40,1,51,5,urban
502,0,1,36,3,1254,4,urban
503,0,1,34,1,187,2,rural
504,0,1,42,1,158,5,urban
505,0,1,37,2,355,6,urban
506,0,1,34,1,54,4,urban
507,0,0,33,2,254,1,rural
508,1,1,49,6,3165,1,urban
509,0,1,36,1,290,1,urban
510,0,1,36,1,62,2,rural
511,0,1,34,1,76,1,urban
512,0,1,37,2,153,4,urban
513,0,1,48,2,60,6,rural
514,0,1,36,1,85,1,urban
515,0,0,37,1,53,2,urban
516,0,1,41,1,73,4,urban
517,0,1,40,1,140,1,urban
518,0,1,32,2,53,1,urban
519,1,1,43,1,59,1,urban
520,0,0,35,2,71,3,urban
521,0,1,44,2,55,4,urban
522,0,1,36,3,549,5,urban
523,0,1,43,1,105,2,rural
524,0,1,31,1,56,1,urban
525,0,0,42,8,5988,4,urban
526,0,1,37,1,64,5,urban
527,0,1,45,8,6405,4,rural
528,1,1,37,1,55,1,urban
529,0,1,34,3,56,4,urban
530,0,1,42,1,52,3,urban
531,0,1,38,2,53,1,rural
532,0,1,33,1,55,1,rural
533,0,1,35,1,157,4,rural
534,0,1,37,2,354,5,urban
535,0,1,42,1,400,5,rural
536,0,0,42,2,70,6,urban
537,0,0,32,1,78,3,rural
538,0,0,41,1,53,5,urban
539,0,1,41,1,87,6,rural
540,0,1,31,1,52,2,urban
541,0,1,38,2,84,1,rural
542,0,1,33,1,95,1,urban
543,0,1,45,2,127,4,urban
544,0,1,31,1,53,6,rural
545,0,1,35,2,68,2,urban
546,0,1,38,4,88,1,rural
547,0,1,44,2,58,3,urban
548,0,1,39,1,50,1,urban
549,0,0,36,1,65,4,rural
550,1,1,40,1,75,2,urban
551,0,1,38,1,89,4,rural
552,0,0,34,1,58,1,urban
553,0,1,26,1,122,6,urban
554,0,0,35,1,60,5,urban
